code,browser,b&w,apple,andr,twit,wind,gmail,name,annotations
1f1ea_1f1f9,images/1f1ea_1f1f9_browser.png,images/1f1ea_1f1f9_bw.png,images/1f1ea_1f1f9_apple.png,missing,missing,missing,missing,flag for Ethiopia,ethiopia;flag;other
1f1ea_1f1fa,images/1f1ea_1f1fa_browser.png,images/1f1ea_1f1fa_bw.png,images/1f1ea_1f1fa_apple.png,missing,missing,missing,missing,flag for European Union,european union;flag;other
1f1eb_1f1ee,images/1f1eb_1f1ee_browser.png,images/1f1eb_1f1ee_bw.png,images/1f1eb_1f1ee_apple.png,missing,missing,missing,missing,flag for Finland,finland;flag;other
1f1eb_1f1ef,images/1f1eb_1f1ef_browser.png,images/1f1eb_1f1ef_bw.png,images/1f1eb_1f1ef_apple.png,missing,missing,missing,missing,flag for Fiji,fiji;flag;other
1f1eb_1f1f0,images/1f1eb_1f1f0_browser.png,images/1f1eb_1f1f0_bw.png,missing,missing,missing,missing,missing,flag for Falkland Islands,falkland;falklands;flag;island;islas;malvinas;other
1f1eb_1f1f2,images/1f1eb_1f1f2_browser.png,images/1f1eb_1f1f2_bw.png,images/1f1eb_1f1f2_apple.png,missing,missing,missing,missing,flag for Micronesia,flag;micronesia;other
1f1eb_1f1f4,images/1f1eb_1f1f4_browser.png,images/1f1eb_1f1f4_bw.png,images/1f1eb_1f1f4_apple.png,missing,missing,missing,missing,flag for Faroe Islands,faroe;flag;island;other
1f1eb_1f1f7,images/1f1eb_1f1f7_browser.png,images/1f1eb_1f1f7_bw.png,images/1f1eb_1f1f7_apple.png,images/1f1eb_1f1f7_andr.png,missing,images/1f1eb_1f1f7_wind.png,missing,flag for France,flag;france;other
1f1ec_1f1e6,images/1f1ec_1f1e6_browser.png,images/1f1ec_1f1e6_bw.png,images/1f1ec_1f1e6_apple.png,missing,missing,missing,missing,flag for Gabon,flag;gabon;other
1f1ec_1f1e7,images/1f1ec_1f1e7_browser.png,images/1f1ec_1f1e7_bw.png,images/1f1ec_1f1e7_apple.png,images/1f1ec_1f1e7_andr.png,missing,images/1f1ec_1f1e7_wind.png,missing,flag for United Kingdom,britain;british;cornwall;england;flag;great britain;ireland;northern ireland;other;scotland;uk;union jack;united;united kingdom;wales
1f1ec_1f1e9,images/1f1ec_1f1e9_browser.png,images/1f1ec_1f1e9_bw.png,images/1f1ec_1f1e9_apple.png,missing,missing,missing,missing,flag for Grenada,flag;grenada;other
1f1ec_1f1ea,images/1f1ec_1f1ea_browser.png,images/1f1ec_1f1ea_bw.png,images/1f1ec_1f1ea_apple.png,missing,missing,missing,missing,flag for Georgia,flag;georgia;other
1f1ec_1f1eb,images/1f1ec_1f1eb_browser.png,images/1f1ec_1f1eb_bw.png,missing,missing,missing,missing,missing,flag for French Guiana,flag;french;guiana;other
1f1ec_1f1ec,images/1f1ec_1f1ec_browser.png,images/1f1ec_1f1ec_bw.png,images/1f1ec_1f1ec_apple.png,missing,missing,missing,missing,flag for Guernsey,flag;guernsey;other
1f1ec_1f1ed,images/1f1ec_1f1ed_browser.png,images/1f1ec_1f1ed_bw.png,images/1f1ec_1f1ed_apple.png,missing,missing,missing,missing,flag for Ghana,flag;ghana;other
1f1ec_1f1ee,images/1f1ec_1f1ee_browser.png,images/1f1ec_1f1ee_bw.png,images/1f1ec_1f1ee_apple.png,missing,missing,missing,missing,flag for Gibraltar,flag;gibraltar;other
1f1ec_1f1f1,images/1f1ec_1f1f1_browser.png,images/1f1ec_1f1f1_bw.png,images/1f1ec_1f1f1_apple.png,missing,missing,missing,missing,flag for Greenland,flag;greenland;other
1f1ec_1f1f2,images/1f1ec_1f1f2_browser.png,images/1f1ec_1f1f2_bw.png,images/1f1ec_1f1f2_apple.png,missing,missing,missing,missing,flag for Gambia,flag;gambia;other
1f1ec_1f1f3,images/1f1ec_1f1f3_browser.png,images/1f1ec_1f1f3_bw.png,images/1f1ec_1f1f3_apple.png,missing,missing,missing,missing,flag for Guinea,flag;guinea;other
1f1ec_1f1f5,images/1f1ec_1f1f5_browser.png,images/1f1ec_1f1f5_bw.png,missing,missing,missing,missing,missing,flag for Guadeloupe,flag;guadeloupe;other
1f1ec_1f1f6,images/1f1ec_1f1f6_browser.png,images/1f1ec_1f1f6_bw.png,images/1f1ec_1f1f6_apple.png,missing,missing,missing,missing,flag for Equatorial Guinea,equatorial guinea;flag;guinea;other
1f1ec_1f1f7,images/1f1ec_1f1f7_browser.png,images/1f1ec_1f1f7_bw.png,images/1f1ec_1f1f7_apple.png,missing,missing,missing,missing,flag for Greece,flag;greece;other
1f1ec_1f1f8,images/1f1ec_1f1f8_browser.png,images/1f1ec_1f1f8_bw.png,missing,missing,missing,missing,missing,flag for South Georgia & South Sandwich Islands,flag;georgia;island;other;south;south georgia;south sandwich
1f1ec_1f1f9,images/1f1ec_1f1f9_browser.png,images/1f1ec_1f1f9_bw.png,images/1f1ec_1f1f9_apple.png,missing,missing,missing,missing,flag for Guatemala,flag;guatemala;other
1f1ec_1f1fa,images/1f1ec_1f1fa_browser.png,images/1f1ec_1f1fa_bw.png,images/1f1ec_1f1fa_apple.png,missing,missing,missing,missing,flag for Guam,flag;guam;other
1f1ec_1f1fc,images/1f1ec_1f1fc_browser.png,images/1f1ec_1f1fc_bw.png,images/1f1ec_1f1fc_apple.png,missing,missing,missing,missing,flag for Guinea-Bissau,bissau;flag;guinea;other
1f1ec_1f1fe,images/1f1ec_1f1fe_browser.png,images/1f1ec_1f1fe_bw.png,images/1f1ec_1f1fe_apple.png,missing,missing,missing,missing,flag for Guyana,flag;guyana;other
1f1ed_1f1f0,images/1f1ed_1f1f0_browser.png,images/1f1ed_1f1f0_bw.png,images/1f1ed_1f1f0_apple.png,missing,missing,missing,missing,flag for Hong Kong,china;flag;hong kong;other
1f1ed_1f1f2,images/1f1ed_1f1f2_browser.png,images/1f1ed_1f1f2_bw.png,missing,missing,missing,missing,missing,flag for Heard & McDonald Islands,flag;heard;island;mcdonald;other
1f1ed_1f1f3,images/1f1ed_1f1f3_browser.png,images/1f1ed_1f1f3_bw.png,images/1f1ed_1f1f3_apple.png,missing,missing,missing,missing,flag for Honduras,flag;honduras;other
1f1ed_1f1f7,images/1f1ed_1f1f7_browser.png,images/1f1ed_1f1f7_bw.png,images/1f1ed_1f1f7_apple.png,missing,missing,missing,missing,flag for Croatia,croatia;flag;other
1f1ed_1f1f9,images/1f1ed_1f1f9_browser.png,images/1f1ed_1f1f9_bw.png,images/1f1ed_1f1f9_apple.png,missing,missing,missing,missing,flag for Haiti,flag;haiti;other
1f1ed_1f1fa,images/1f1ed_1f1fa_browser.png,images/1f1ed_1f1fa_bw.png,images/1f1ed_1f1fa_apple.png,missing,missing,missing,missing,flag for Hungary,flag;hungary;other
1f1ee_1f1e8,images/1f1ee_1f1e8_browser.png,images/1f1ee_1f1e8_bw.png,images/1f1ee_1f1e8_apple.png,missing,missing,missing,missing,flag for Canary Islands,canary;flag;island;other
1f1ee_1f1e9,images/1f1ee_1f1e9_browser.png,images/1f1ee_1f1e9_bw.png,images/1f1ee_1f1e9_apple.png,missing,missing,missing,missing,flag for Indonesia,flag;indonesia;other
1f1ee_1f1ea,images/1f1ee_1f1ea_browser.png,images/1f1ee_1f1ea_bw.png,images/1f1ee_1f1ea_apple.png,missing,missing,missing,missing,flag for Ireland,flag;ireland;other
1f1ee_1f1f1,images/1f1ee_1f1f1_browser.png,images/1f1ee_1f1f1_bw.png,images/1f1ee_1f1f1_apple.png,missing,missing,missing,missing,flag for Israel,flag;israel;other
1f1ee_1f1f2,images/1f1ee_1f1f2_browser.png,images/1f1ee_1f1f2_bw.png,images/1f1ee_1f1f2_apple.png,missing,missing,missing,missing,flag for Isle of Man,flag;isle of man;other
1f1ee_1f1f3,images/1f1ee_1f1f3_browser.png,images/1f1ee_1f1f3_bw.png,images/1f1ee_1f1f3_apple.png,missing,missing,missing,missing,flag for India,flag;india;other
1f1ee_1f1f4,images/1f1ee_1f1f4_browser.png,images/1f1ee_1f1f4_bw.png,images/1f1ee_1f1f4_apple.png,missing,missing,missing,missing,flag for British Indian Ocean Territory,british;chagos;flag;indian ocean;island;other
1f1ee_1f1f6,images/1f1ee_1f1f6_browser.png,images/1f1ee_1f1f6_bw.png,images/1f1ee_1f1f6_apple.png,missing,missing,missing,missing,flag for Iraq,flag;iraq;other
1f1ee_1f1f7,images/1f1ee_1f1f7_browser.png,images/1f1ee_1f1f7_bw.png,images/1f1ee_1f1f7_apple.png,missing,missing,missing,missing,flag for Iran,flag;iran;other
1f1ee_1f1f8,images/1f1ee_1f1f8_browser.png,images/1f1ee_1f1f8_bw.png,missing,missing,missing,missing,missing,flag for Iceland,flag;iceland;other
1f1ee_1f1f9,images/1f1ee_1f1f9_browser.png,images/1f1ee_1f1f9_bw.png,images/1f1ee_1f1f9_apple.png,images/1f1ee_1f1f9_andr.png,missing,images/1f1ee_1f1f9_wind.png,missing,flag for Italy,flag;italy;other
1f1ef_1f1ea,images/1f1ef_1f1ea_browser.png,images/1f1ef_1f1ea_bw.png,images/1f1ef_1f1ea_apple.png,missing,missing,missing,missing,flag for Jersey,flag;jersey;other
1f1ef_1f1f2,images/1f1ef_1f1f2_browser.png,images/1f1ef_1f1f2_bw.png,images/1f1ef_1f1f2_apple.png,missing,missing,missing,missing,flag for Jamaica,flag;jamaica;other
1f1ef_1f1f4,images/1f1ef_1f1f4_browser.png,images/1f1ef_1f1f4_bw.png,images/1f1ef_1f1f4_apple.png,missing,missing,missing,missing,flag for Jordan,flag;jordan;other
1f1ef_1f1f5,images/1f1ef_1f1f5_browser.png,images/1f1ef_1f1f5_bw.png,images/1f1ef_1f1f5_apple.png,images/1f1ef_1f1f5_andr.png,missing,images/1f1ef_1f1f5_wind.png,missing,flag for Japan,flag;japan;other
1f1f0_1f1ea,images/1f1f0_1f1ea_browser.png,images/1f1f0_1f1ea_bw.png,images/1f1f0_1f1ea_apple.png,missing,missing,missing,missing,flag for Kenya,flag;kenya;other
1f1f0_1f1ec,images/1f1f0_1f1ec_browser.png,images/1f1f0_1f1ec_bw.png,images/1f1f0_1f1ec_apple.png,missing,missing,missing,missing,flag for Kyrgyzstan,flag;kyrgyzstan;other
1f1f0_1f1ed,images/1f1f0_1f1ed_browser.png,images/1f1f0_1f1ed_bw.png,images/1f1f0_1f1ed_apple.png,missing,missing,missing,missing,flag for Cambodia,cambodia;flag;other
1f1f0_1f1ee,images/1f1f0_1f1ee_browser.png,images/1f1f0_1f1ee_bw.png,images/1f1f0_1f1ee_apple.png,missing,missing,missing,missing,flag for Kiribati,flag;kiribati;other
1f1f0_1f1f2,images/1f1f0_1f1f2_browser.png,images/1f1f0_1f1f2_bw.png,images/1f1f0_1f1f2_apple.png,missing,missing,missing,missing,flag for Comoros,comoros;flag;other
1f1f0_1f1f3,images/1f1f0_1f1f3_browser.png,images/1f1f0_1f1f3_bw.png,images/1f1f0_1f1f3_apple.png,missing,missing,missing,missing,flag for St. Kitts & Nevis,flag;kitts;nevis;other;saint
1f1f0_1f1f5,images/1f1f0_1f1f5_browser.png,images/1f1f0_1f1f5_bw.png,images/1f1f0_1f1f5_apple.png,missing,missing,missing,missing,flag for North Korea,flag;korea;north;north korea;other
1f1f0_1f1f7,images/1f1f0_1f1f7_browser.png,images/1f1f0_1f1f7_bw.png,images/1f1f0_1f1f7_apple.png,images/1f1f0_1f1f7_andr.png,missing,images/1f1f0_1f1f7_wind.png,missing,flag for South Korea,flag;korea;other;south;south korea
1f1f0_1f1fc,images/1f1f0_1f1fc_browser.png,images/1f1f0_1f1fc_bw.png,images/1f1f0_1f1fc_apple.png,missing,missing,missing,missing,flag for Kuwait,flag;kuwait;other
1f1f0_1f1fe,images/1f1f0_1f1fe_browser.png,images/1f1f0_1f1fe_bw.png,images/1f1f0_1f1fe_apple.png,missing,missing,missing,missing,flag for Cayman Islands,cayman;flag;island;other
1f1f0_1f1ff,images/1f1f0_1f1ff_browser.png,images/1f1f0_1f1ff_bw.png,images/1f1f0_1f1ff_apple.png,missing,missing,missing,missing,flag for Kazakhstan,flag;kazakhstan;other
1f1f1_1f1e6,images/1f1f1_1f1e6_browser.png,images/1f1f1_1f1e6_bw.png,images/1f1f1_1f1e6_apple.png,missing,missing,missing,missing,flag for Laos,flag;laos;other
1f1f1_1f1e7,images/1f1f1_1f1e7_browser.png,images/1f1f1_1f1e7_bw.png,images/1f1f1_1f1e7_apple.png,missing,missing,missing,missing,flag for Lebanon,flag;lebanon;other
1f1f1_1f1e8,images/1f1f1_1f1e8_browser.png,images/1f1f1_1f1e8_bw.png,images/1f1f1_1f1e8_apple.png,missing,missing,missing,missing,flag for St. Lucia,flag;lucia;other;saint
1f1f1_1f1ee,images/1f1f1_1f1ee_browser.png,images/1f1f1_1f1ee_bw.png,images/1f1f1_1f1ee_apple.png,missing,missing,missing,missing,flag for Liechtenstein,flag;liechtenstein;other
1f1f1_1f1f0,images/1f1f1_1f1f0_browser.png,images/1f1f1_1f1f0_bw.png,images/1f1f1_1f1f0_apple.png,missing,missing,missing,missing,flag for Sri Lanka,flag;other;sri lanka
1f1f1_1f1f7,images/1f1f1_1f1f7_browser.png,images/1f1f1_1f1f7_bw.png,images/1f1f1_1f1f7_apple.png,missing,missing,missing,missing,flag for Liberia,flag;liberia;other
1f1f1_1f1f8,images/1f1f1_1f1f8_browser.png,images/1f1f1_1f1f8_bw.png,images/1f1f1_1f1f8_apple.png,missing,missing,missing,missing,flag for Lesotho,flag;lesotho;other
1f1f1_1f1f9,images/1f1f1_1f1f9_browser.png,images/1f1f1_1f1f9_bw.png,images/1f1f1_1f1f9_apple.png,missing,missing,missing,missing,flag for Lithuania,flag;lithuania;other
1f1f1_1f1fa,images/1f1f1_1f1fa_browser.png,images/1f1f1_1f1fa_bw.png,images/1f1f1_1f1fa_apple.png,missing,missing,missing,missing,flag for Luxembourg,flag;luxembourg;other
1f1f1_1f1fb,images/1f1f1_1f1fb_browser.png,images/1f1f1_1f1fb_bw.png,images/1f1f1_1f1fb_apple.png,missing,missing,missing,missing,flag for Latvia,flag;latvia;other
1f1f1_1f1fe,images/1f1f1_1f1fe_browser.png,images/1f1f1_1f1fe_bw.png,images/1f1f1_1f1fe_apple.png,missing,missing,missing,missing,flag for Libya,flag;libya;other
1f1f2_1f1e6,images/1f1f2_1f1e6_browser.png,images/1f1f2_1f1e6_bw.png,images/1f1f2_1f1e6_apple.png,missing,missing,missing,missing,flag for Morocco,flag;morocco;other
1f1f2_1f1e8,images/1f1f2_1f1e8_browser.png,images/1f1f2_1f1e8_bw.png,images/1f1f2_1f1e8_apple.png,missing,missing,missing,missing,flag for Monaco,flag;monaco;other
1f1f2_1f1e9,images/1f1f2_1f1e9_browser.png,images/1f1f2_1f1e9_bw.png,images/1f1f2_1f1e9_apple.png,missing,missing,missing,missing,flag for Moldova,flag;moldova;other
1f1f2_1f1ea,images/1f1f2_1f1ea_browser.png,images/1f1f2_1f1ea_bw.png,images/1f1f2_1f1ea_apple.png,missing,missing,missing,missing,flag for Montenegro,flag;montenegro;other
